Jun 11 2021 23:47:46 FW00 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 155.45.129.14 to 51.130.22.93 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:47:56 FW13 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 219.161.64.102 to 149.6.208.21 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:47:57 FW12 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/0 changed state to up	 Not anomaly
Jun 11 2021 23:47:57 FW04 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:47:57 FW24 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:47:57 FW09 : %ASA-5-611103: User logged out: Uname: user7	 Not anomaly
Jun 11 2021 23:47:57 FW19 : %ASA-3-319002: Acknowledge for route update for IP address 171.153.201.126 not received.	 Not anomaly
Jun 11 2021 23:47:57 FW18 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/3 changed state to up	 Anomaly
Jun 11 2021 23:47:57 FW01 : %ASA-3-319001: Acknowledge for arp update for IP address 121.209.173.119 not received.	 Not anomaly
Jun 11 2021 23:47:57 FW16 : %ASA-4-400012: IPS:2002 ICMP Source Quench 80.213.93.141 to 162.44.70.207 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:47:57 FW03 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:47:57 FW10 : %ASA-6-605005: Login permitted from 131.166.95.1/46685 to GigabitEthernet0/2:180.78.207.239/DNS for user user10	 Anomaly
Jun 11 2021 23:47:58 FW12 : %ASA-4-400009: IPS:1103 IP Fragments Overlap from 180.64.114.40 to 161.209.167.133 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:47:58 FW19 : %ASA-2-410002: Dropped num DNS responses with mis-matched id in the past 10 second(s): from GigabitEthernet0/4:69.81.40.171/59442 to GigabitEthernet0/2:111.226.249.244/62560	 Anomaly
Jun 11 2021 23:47:58 FW16 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 56.248.227.103 to 149.97.106.230 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:47:59 FW16 : %ASA-7-718021: Sent KEEPALIVE response to 33.125.219.188	 Not anomaly
Jun 11 2021 23:47:59 FW23 : %ASA-5-718016: Received HELLO response from 195.0.177.200	 Not anomaly
Jun 11 2021 23:47:59 FW05 : %ASA-4-400013: IPS:2003 ICMP Redirect 212.222.136.159 to 58.70.192.181 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:47:59 FW25 : %ASA-3-304003: URL Server 39.46.23.20 timed out URL http://mcintyre-nichols.biz/	 Not anomaly
Jun 11 2021 23:47:59 FW08 : %ASA-4-400014: IPS:2004 ICMP Echo Request 38.110.187.91 to 129.70.74.31 on interface GigabitEthernet0/5	 Anomaly
Jun 11 2021 23:48:00 FW20 : %ASA-6-314004: RTSP client GigabitEthernet0/2: 112.144.5.132 accessed RTSP URL http://www.hunt.net/	 Not anomaly
Jun 11 2021 23:48:00 FW15 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:48:00 FW05 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:48:00 FW05 : %ASA-6-605005: Login permitted from 23.56.194.57/16320 to GigabitEthernet0/3:188.175.161.15/DHCP for user user9	 Anomaly
Jun 11 2021 23:48:00 FW17 : %ASA-7-710002: UDP access permitted from 76.238.137.236/10359 to GigabitEthernet0/5:3.70.118.9/DHCP	 Not anomaly
Jun 11 2021 23:48:00 FW16 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/4 during idb initialization	 Not anomaly
Jun 11 2021 23:48:00 FW24 : %ASA-4-400005: IPS:1005 IP options-SATNET ID 26.170.252.106 to 50.127.76.126 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:01 FW06 : %ASA-4-716022: Unable to connect to proxy server.	 Not anomaly
Jun 11 2021 23:48:01 FW22 : %ASA-4-400021: IPS:2011 ICMP Address Mask Request 68.170.117.111 to 65.72.64.70 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:48:01 FW14 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:48:01 FW20 : %ASA-4-411001: Line protocol on interface GigabitEthernet0/0 changed state to up	 Anomaly
Jun 11 2021 23:48:01 FW01 : %ASA-3-319001: Acknowledge for arp update for IP address 33.141.131.101 not received.	 Not anomaly
Jun 11 2021 23:48:01 FW23 : %ASA-6-302003: Built H245 connection for foreign_address 193.187.202.131/1605 local_address 10.254.145.0 /8194	 Anomaly
Jun 11 2021 23:48:01 FW17 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:48:01 FW25 : %ASA-6-611101: User authentication succeeded: IP, 100.164.41.201 : Uname: user12	 Not anomaly
Jun 11 2021 23:48:02 FW11 : %ASA-3-304003: URL Server 58.67.77.224 timed out URL http://lewis.com/	 Not anomaly
Jun 11 2021 23:48:02 FW24 : %ASA-4-507002: Data copy in proxy-mode exceeded the buffer limit	 Anomaly
Jun 11 2021 23:48:02 FW17 : %ASA-4-733100: Conn limit drop rate 1 exceeded. Current burst rate is 10 per second, max configured rate is 800 ; Current average rate is 2240 per second, max configured rate is 1500 ; Cumulative total count is 545132	 Anomaly
Jun 11 2021 23:48:02 FW13 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/0: 222.8.178.236/62389 to laddr GigabitEthernet0/0: 10.154.210.54/42354	 Not anomaly
Jun 11 2021 23:48:02 FW21 : %ASA-1-101001: (Primary) Failover cable OK.	 Not anomaly
Jun 11 2021 23:48:02 FW19 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/3 during idb initialization	 Not anomaly
Jun 11 2021 23:48:02 FW17 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 116.17.74.116 to 173.71.100.61 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:48:02 FW03 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 3.32.105.57 to 31.164.165.35 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:48:03 FW01 : %ASA-4-209003: Fragment database limit of number exceeded: src = 216.214.193.182 , dest = 54.23.245.172 , proto = UDP , id = 4991	 Not anomaly
Jun 11 2021 23:48:03 FW14 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:48:03 FW15 : %ASA-3-319001: Acknowledge for arp update for IP address 191.79.229.206 not received.	 Not anomaly
Jun 11 2021 23:48:03 FW07 : %ASA-4-400045: IPS:6153 ypupdated (YP update daemon) Portmap Request 128.246.48.15 to 62.123.140.166 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:48:03 FW10 : %ASA-7-718021: Sent KEEPALIVE response to 141.68.172.158	 Not anomaly
Jun 11 2021 23:48:04 FW13 : %ASA-4-411004: Configuration status on interface GigabitEthernet0/0 changed state to up	 Not anomaly
Jun 11 2021 23:48:04 FW05 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 190.209.117.136 to 2.107.186.78 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:48:04 FW23 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 84.149.178.21 to 207.35.121.31 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:04 FW20 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 118.255.200.172 to 44.12.203.245 on interface GigabitEthernet0/2	 Anomaly
Jun 11 2021 23:48:04 FW00 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:48:04 FW02 : %ASA-4-400034: IPS:6050 DNS HINFO Request 2.165.228.196 to 20.197.58.231 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:05 FW21 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 199.133.148.93 to 43.180.177.54 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:48:05 FW11 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 46.50.51.203 to 24.42.12.75 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:05 FW07 : %ASA-3-319002: Acknowledge for route update for IP address 57.79.127.90 not received.	 Not anomaly
Jun 11 2021 23:48:05 FW18 : %ASA-5-713155: DNS lookup for Primary VPN Server vpn_concentrator successfully resolved after a previous failure. Resetting any Backup Server init.	 Not anomaly
Jun 11 2021 23:48:05 FW20 : %ASA-7-718021: Sent KEEPALIVE response to 169.147.100.27	 Not anomaly
Jun 11 2021 23:48:06 FW11 : %ASA-4-716022: Unable to connect to proxy server.	 Not anomaly
Jun 11 2021 23:48:06 FW05 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 51.118.231.55 to 204.243.12.113 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:48:06 FW16 : %ASA-7-718021: Sent KEEPALIVE response to 164.60.131.228	 Not anomaly
Jun 11 2021 23:48:06 FW13 : %ASA-6-109005: Authentication succeeded for user user18 from 192.168.31.136/56778 to 45.184.249.147/32695 on interface GigabitEthernet0/4.	 Not anomaly
Jun 11 2021 23:48:06 FW06 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:48:06 FW10 : %ASA-4-400013: IPS:2003 ICMP Redirect 12.196.138.162 to 184.13.99.208 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:07 FW10 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 124.41.9.229 to 205.183.254.239 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:07 FW15 : %ASA-4-733100: Bad pkts drop rate 1 exceeded. Current burst rate is 1 per second, max configured rate is 400 ; Current average rate is 760 per second, max configured rate is 100 ; Cumulative total count is 1938933	 Anomaly
Jun 11 2021 23:48:07 FW11 : %ASA-4-400014: IPS:2004 ICMP Echo Request 27.207.52.137 to 68.221.19.0 on interface GigabitEthernet0/2	 Anomaly
Jun 11 2021 23:48:07 FW04 : %ASA-7-710002: UDP access permitted from 125.136.87.51/25586 to GigabitEthernet0/0:115.219.38.12/NTP	 Not anomaly
Jun 11 2021 23:48:07 FW11 : %ASA-4-401001: Shuns cleared	 Not anomaly
Jun 11 2021 23:48:07 FW12 : %ASA-4-400034: IPS:6050 DNS HINFO Request 190.154.253.237 to 10.8.40.51 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:48:08 FW18 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 217.165.67.192 to 47.221.2.144 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:08 FW08 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:48:08 FW05 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 32.185.138.28 to 83.18.10.241 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:08 FW15 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/2:121.108.168.40/61145 to GigabitEthernet0/4:43.15.145.91/24346 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:48:09 FW12 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 2.41.10.60 to 200.17.188.115 on interface GigabitEthernet0/1	 Anomaly
Jun 11 2021 23:48:09 FW02 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/3:54.207.21.248/10512 to GigabitEthernet0/4:48.30.128.145/22184 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:48:09 FW23 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:48:09 FW18 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:48:09 FW20 : %ASA-7-715041: Received keep-alive of type keepalive_type , not the negotiated type	 Not anomaly
Jun 11 2021 23:48:09 FW20 : %ASA-4-400020: IPS:2010 ICMP Information Reply 68.158.3.81 to 37.190.185.226 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:48:09 FW05 : %ASA-4-400046: IPS:6154 ypxfrd (YP transfer daemon) Portmap Request 31.21.168.91 to 159.59.106.132 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:48:10 FW10 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:48:10 FW16 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 90.92.25.3 to 175.91.160.206 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:48:10 FW23 : %ASA-6-302003: Built H245 connection for foreign_address 128.196.28.6/35623 local_address 172.24.169.100 /47389	 Anomaly
Jun 11 2021 23:48:10 FW01 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 55.173.176.138 to 168.46.162.109 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:11 FW18 : %ASA-3-710003: UDP access denied by ACL from 195.150.185.197/52180 to GigabitEthernet0/2:29.132.152.121/SMTP	 Not anomaly
Jun 11 2021 23:48:11 FW17 : %ASA-4-405002: Received mac mismatch collision from 190.183.101.149/c7:65:26:9a:88:c7 for authenticated host	 Anomaly
Jun 11 2021 23:48:11 FW21 : %ASA-4-400010: IPS:2000 ICMP Echo Reply 82.238.84.23 to 116.42.228.156 on interface GigabitEthernet0/3	 Anomaly
Jun 11 2021 23:48:11 FW19 : %ASA-1-104500: (Primary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:48:11 FW05 : %ASA-4-400012: IPS:2002 ICMP Source Quench 53.168.129.69 to 144.113.6.250 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:48:12 FW10 : %ASA-5-718010: Sent HELLO response to 193.111.128.193	 Not anomaly
Jun 11 2021 23:48:12 FW09 : %ASA-6-302033: Pre-allocated H323 GUP Connection for faddr GigabitEthernet0/0: 193.151.31.109/64554 to laddr GigabitEthernet0/1: 172.23.7.22/37304	 Not anomaly
Jun 11 2021 23:48:12 FW09 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
Jun 11 2021 23:48:12 FW08 : %ASA-4-400047: IPS:6155 mountd (mount daemon) Portmap Request 163.36.8.98 to 52.194.92.24 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:48:12 FW19 : %ASA-4-400016: IPS:2006 ICMP Parameter Problem on Datagram 55.161.12.90 to 38.225.140.190 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:48:13 FW19 : %ASA-3-304003: URL Server 182.242.89.229 timed out URL https://www.moore-reyes.org/	 Not anomaly
Jun 11 2021 23:48:13 FW14 : %ASA-4-400000: IPS:1000 IP options-Bad Option List from 6.88.73.49 to 13.170.137.130 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:48:13 FW09 : %ASA-1-105003: (Primary) Monitoring on interface GigabitEthernet0/0 waiting	 Not anomaly
Jun 11 2021 23:48:13 FW25 : %ASA-4-400004: IPS:1004 IP options-Loose Source Route 192.38.194.214 to 94.204.134.165 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:14 FW12 : %ASA-4-400012: IPS:2002 ICMP Source Quench 18.39.236.136 to 121.89.59.6 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:14 FW08 : %ASA-4-419002: Received duplicate TCP SYN from GigabitEthernet0/5:193.190.199.84/28786 to GigabitEthernet0/4:119.67.163.198/24268 with different initial sequence number.	 Anomaly
Jun 11 2021 23:48:14 FW09 : %ASA-7-710006: TCP request discarded from 120.119.113.208 to GigabitEthernet0/0:155.223.132.184	 Anomaly
Jun 11 2021 23:48:14 FW05 : %ASA-7-713164: The Firewall Server has requested a list of active user sessions	 Not anomaly
Jun 11 2021 23:48:14 FW22 : %ASA-3-318107: OSPF is enabled on GigabitEthernet0/4 during idb initialization	 Not anomaly
Jun 11 2021 23:48:14 FW24 : %ASA-6-109001: Auth start for user user6 from 10.170.191.74/47805 to 210.10.25.103/40313	 Not anomaly
Jun 11 2021 23:48:15 FW19 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 133.128.114.180 to 28.184.178.202 on interface GigabitEthernet0/3	 Not anomaly
Jun 11 2021 23:48:15 FW21 : %ASA-4-400039: IPS:6101 RPC Port Unregistration 217.94.246.71 to 81.216.42.75 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:15 FW16 : %ASA-5-507001: Terminating TCP-Proxy connection from GigabitEthernet0/1:88.106.68.222/36664 to GigabitEthernet0/3:146.105.232.232/45388 - reassembly limit of 156000 bytes exceeded	 Not anomaly
Jun 11 2021 23:48:16 FW08 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 65.109.113.44 to 86.169.53.145 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:16 FW20 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 91.50.237.22 to 89.38.108.21 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:16 FW17 : %ASA-3-319001: Acknowledge for arp update for IP address 100.156.198.159 not received.	 Not anomaly
Jun 11 2021 23:48:16 FW15 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 13.109.255.225 to 183.2.237.97 on interface GigabitEthernet0/0	 Not anomaly
Jun 11 2021 23:48:17 FW23 : %ASA-7-715041: Received keep-alive of type keepalive_type , not the negotiated type	 Not anomaly
Jun 11 2021 23:48:17 FW13 : %ASA-1-104502: (Primary) Becoming Backup unit failed.	 Not anomaly
Jun 11 2021 23:48:17 FW10 : %ASA-4-400012: IPS:2002 ICMP Source Quench 121.29.171.200 to 128.227.0.141 on interface GigabitEthernet0/4	 Not anomaly
Jun 11 2021 23:48:17 FW03 : %ASA-6-109001: Auth start for user user15 from 192.168.57.138/56569 to 215.159.9.67/39299	 Not anomaly
Jun 11 2021 23:48:17 FW20 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 66.70.202.157 to 56.178.20.58 on interface GigabitEthernet0/1	 Not anomaly
Jun 11 2021 23:48:18 FW05 : %ASA-4-400049: IPS:6180 rexd (remote execution daemon) Attempt 165.249.153.208 to 203.166.110.29 on interface GigabitEthernet0/2	 Not anomaly
Jun 11 2021 23:48:18 FW05 : %ASA-1-104500: (Secondary) Switching to ACTIVE (cause: reason)	 Anomaly
Jun 11 2021 23:48:18 FW08 : %ASA-4-400036: IPS:6052 DNS Zone Transfer from High Port 2.113.57.205 to 98.161.15.241 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:18 FW08 : %ASA-1-105003: (Primary) Monitoring on interface GigabitEthernet0/5 waiting	 Not anomaly
Jun 11 2021 23:48:18 FW02 : %ASA-6-109001: Auth start for user user20 from 172.29.157.205/26196 to 140.17.95.187/7060	 Not anomaly
Jun 11 2021 23:48:18 FW18 : %ASA-4-400042: IPS:6150 ypserv (YP server daemon) Portmap Request 38.166.236.122 to 197.172.223.79 on interface GigabitEthernet0/5	 Not anomaly
Jun 11 2021 23:48:19 FW25 : %ASA-3-318109: OSPFv3 has received an unexpected message	 Not anomaly
